Date,Open,High,Low,Close,Adj Close,Volume
2019-02-28,null,null,null,null,null,null
2019-03-01,18.690001,18.690001,18.010000,18.240000,17.999340,1311463
2019-03-04,18.510000,18.510000,17.730000,17.870001,17.634222,1671832
2019-03-05,17.750000,18.209999,17.660000,18.020000,17.782244,1744093
2019-03-06,18.120001,18.299999,17.959999,18.040001,17.801979,1172119
2019-03-07,18.320000,18.420000,17.980000,18.090000,17.851318,777522
2019-03-08,18.010000,18.235001,17.940001,18.000000,17.762506,762466
2019-03-11,18.120001,18.120001,17.889999,18.000000,17.762506,4037406
2019-03-12,18.240000,18.540001,18.110001,18.250000,18.009209,1175427
2019-03-13,18.049999,18.215000,18.049999,18.129999,17.890791,1607818
2019-03-14,18.090000,18.150000,17.910000,18.120001,17.880924,856533
2019-03-15,18.230000,18.540001,18.139999,18.540001,18.295383,1997120
2019-03-18,18.500000,18.620001,18.295000,18.370001,18.127626,848930
2019-03-19,18.420000,18.500000,18.139999,18.260000,18.019075,774409
2019-03-20,18.430000,18.610001,18.309999,18.420000,18.176966,685357
2019-03-21,18.459999,18.540001,18.075001,18.270000,18.028944,1083948
2019-03-22,18.490000,18.490000,18.170000,18.190001,17.950001,738395
2019-03-25,18.030001,18.049999,17.730000,17.780001,17.780001,613325
2019-03-26,17.850000,17.860001,17.670000,17.780001,17.780001,846657
2019-03-27,17.590000,17.680000,17.350000,17.440001,17.440001,1087482
2019-03-28,17.139999,17.570000,17.120001,17.520000,17.520000,1195536
2019-03-29,17.600000,17.850000,17.540001,17.540001,17.540001,1478997
2019-04-01,17.530001,17.660000,17.174999,17.250000,17.250000,893195
2019-04-02,17.510000,17.709999,17.260000,17.660000,17.660000,1857372
2019-04-03,17.629999,18.030001,17.610001,17.969999,17.969999,1011543
2019-04-04,17.889999,18.120001,17.860001,17.959999,17.959999,1415720
2019-04-05,17.709999,17.900000,17.440001,17.639999,17.639999,964270
2019-04-08,17.600000,17.750000,17.500000,17.730000,17.730000,656196
2019-04-09,17.760000,17.809999,17.549999,17.650000,17.650000,664499
2019-04-10,17.700001,17.790001,17.530001,17.610001,17.610001,567551
2019-04-11,17.639999,17.730000,17.510000,17.570000,17.570000,864971
2019-04-12,17.540001,17.820000,17.520000,17.799999,17.799999,691280
2019-04-15,17.770000,17.770000,17.530001,17.650000,17.650000,582094
2019-04-16,17.570000,18.025000,17.570000,18.000000,18.000000,739758
2019-04-17,18.120001,18.190001,17.830000,17.900000,17.900000,767394
2019-04-18,18.090000,18.090000,17.730000,17.840000,17.840000,898579
2019-04-23,18.040001,18.170000,17.790001,18.090000,18.090000,919719
2019-04-24,18.240000,18.490000,18.219999,18.379999,18.379999,1034904
2019-04-26,18.440001,18.660000,18.280001,18.620001,18.620001,1169409
2019-04-29,18.670000,18.799999,18.209999,18.330000,18.330000,752072
2019-04-30,18.320000,18.559999,18.200001,18.209999,18.209999,976158
2019-05-01,18.459999,18.900000,18.299999,18.709999,18.709999,2333709
2019-05-02,18.799999,19.350000,18.700001,19.160000,19.160000,2028971
2019-05-03,19.240000,19.709999,19.170000,19.650000,19.650000,1754353
2019-05-06,19.600000,20.049999,19.530001,19.650000,19.650000,1640583
2019-05-07,19.600000,19.990000,19.590000,19.740000,19.740000,993718
2019-05-08,19.600000,19.850000,19.500000,19.709999,19.709999,740155
2019-05-09,19.620001,19.950001,19.510000,19.920000,19.920000,1676354
2019-05-10,19.969999,20.129999,19.860001,20.080000,20.080000,1207329
2019-05-13,20.440001,20.480000,20.065001,20.139999,20.139999,1288231
2019-05-14,19.990000,20.025000,19.709999,19.830000,19.830000,2046791
2019-05-15,19.910000,20.165001,19.809999,19.990000,19.990000,1445579
2019-05-16,19.910000,20.059999,19.799999,19.950001,19.950001,1709750
2019-05-17,20.290001,20.570000,20.209999,20.340000,20.340000,717871
2019-05-20,20.510000,20.590000,20.190001,20.330000,20.330000,538652
2019-05-21,20.080000,20.320000,20.059999,20.290001,20.290001,687803
2019-05-22,20.309999,20.750000,20.309999,20.690001,20.690001,1164461
2019-05-23,20.650000,21.190001,20.570000,21.129999,21.129999,1337526
2019-05-24,20.990000,21.139999,20.580000,20.629999,20.629999,1249162
2019-05-27,20.680000,21.020000,20.660000,20.990000,20.990000,563918
2019-05-28,21.010000,21.160000,20.790001,21.120001,21.120001,853629
2019-05-29,20.870001,21.000000,20.780001,20.950001,20.950001,478208
2019-05-30,20.910000,20.950001,20.559999,20.799999,20.799999,605022
2019-05-31,20.780001,20.959999,20.670000,20.900000,20.900000,809694
